course,cefr,module_code,module_title,theme_summary,grammar,vocabulary,function,lesson_path,assessment,downloads,adaptive_tags
Independent English,B1,B1-M08,"Stories, literature and creative expression","narratives, characters, plot, poetry, performance",modals of deduction/advice,"genres, characters, settings, plot, figurative language",respond to problems,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, modals of deduction/advice, respond to problems, Stories, literature and creative expression"
Independent English,B1,B1-M09,"Problems, solutions and critical thinking","cause/effect, evidence, debate, solutions",linking devices,"environment, social issues, cause/effect, solution language",present a topic,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, linking devices, present a topic, Problems, solutions and critical thinking"
Independent English,B1,B1-M10,Portfolio project and progress review,"integrated skills, reflection, revision, certification task",review,"review, reflection, portfolio language, self-assessment terms",build a portfolio,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, review, build a portfolio, Portfolio project and progress review"
Upper Independent English,B2,B2-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information",perfect and continuous aspect review,"personal details, goals, classroom objects, numbers, dates",argue a point,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, perfect and continuous aspect review, argue a point, Identity, goals and learner profile"
Upper Independent English,B2,B2-M02,"Family, community and relationships","people, roles, feelings, social routines",advanced conditionals,"family, personality, emotions, community places",evaluate sources,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, advanced conditionals, evaluate sources, Family, community and relationships"
Upper Independent English,B2,B2-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",passive reporting structures,"subjects, study skills, jobs, duties, workplace phrases",synthesise information,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, passive reporting structures, synthesise information, School, study and work"
Upper Independent English,B2,B2-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",participle clauses,"rooms, furniture, transport, maps, services",negotiate and collaborate,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, participle clauses, negotiate and collaborate, Home, city and daily life"
Upper Independent English,B2,B2-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",cleft sentences and emphasis,"food groups, symptoms, healthy habits, advice",write reports and essays,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, cleft sentences and emphasis, write reports and essays, Food, health and wellbeing"
Upper Independent English,B2,B2-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",advanced relative clauses,"countries, landscapes, travel problems, cultural routines",give presentations,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, advanced relative clauses, give presentations, Travel, cultures and the wider world"
Upper Independent English,B2,B2-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",substitution and ellipsis,"devices, apps, online behaviour, news, opinions",interpret tone,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, substitution and ellipsis, interpret tone, Media, technology and digital citizenship"
Upper Independent English,B2,B2-M08,"Stories, literature and creative expression","narratives, characters, plot, poetry, performance",modality and hedging,"genres, characters, settings, plot, figurative language",use evidence,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, modality and hedging, use evidence, Stories, literature and creative expression"
Upper Independent English,B2,B2-M09,"Problems, solutions and critical thinking","cause/effect, evidence, debate, solutions",discourse markers,"environment, social issues, cause/effect, solution language",debate solutions,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, discourse markers, debate solutions, Problems, solutions and critical thinking"
Upper Independent English,B2,B2-M10,Portfolio project and progress review,"integrated skills, reflection, revision, certification task",review,"review, reflection, portfolio language, self-assessment terms",complete an extended project,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B2, review, complete an extended project, Portfolio project and progress review"
Advanced Academic and Professional English,C1,C1-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information",nominalisation,"personal details, goals, classroom objects, numbers, dates",adapt register,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, nominalisation, adapt register, Identity, goals and learner profile"
Advanced Academic and Professional English,C1,C1-M02,"Family, community and relationships","people, roles, feelings, social routines",advanced modality and stance,"family, personality, emotions, community places",sustain academic discussion,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, advanced modality and stance, sustain academic discussion, Family, community and relationships"
Advanced Academic and Professional English,C1,C1-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",inversion,"subjects, study skills, jobs, duties, workplace phrases",write persuasive analysis,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, inversion, write persuasive analysis, School, study and work"
Advanced Academic and Professional English,C1,C1-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",complex noun phrases,"rooms, furniture, transport, maps, services",moderate debate,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, complex noun phrases, moderate debate, Home, city and daily life"
Advanced Academic and Professional English,C1,C1-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",register shifts,"food groups, symptoms, healthy habits, advice",summarise complex texts,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, register shifts, summarise complex texts, Food, health and wellbeing"
Advanced Academic and Professional English,C1,C1-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",concession and counterargument,"countries, landscapes, travel problems, cultural routines",critique arguments,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, concession and counterargument, critique arguments, Travel, cultures and the wider world"
Advanced Academic and Professional English,C1,C1-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",advanced reporting verbs,"devices, apps, online behaviour, news, opinions",deliver professional presentations,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, advanced reporting verbs, deliver professional presentations, Media, technology and digital citizenship"
Advanced Academic and Professional English,C1,C1-M08,"Stories, literature and creative expression","narratives, characters, plot, poetry, performance",cohesion and paragraph flow,"genres, characters, settings, plot, figurative language",edit for precision,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, cohesion and paragraph flow, edit for precision, Stories, literature and creative expression"
Advanced Academic and Professional English,C1,C1-M09,"Problems, solutions and critical thinking","cause/effect, evidence, debate, solutions",syntax for emphasis,"environment, social issues, cause/effect, solution language",mentor peers,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, syntax for emphasis, mentor peers, Problems, solutions and critical thinking"
Advanced Academic and Professional English,C1,C1-M10,Portfolio project and progress review,"integrated skills, reflection, revision, certification task",review,"review, reflection, portfolio language, self-assessment terms",publish a polished product,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C1, review, publish a polished product, Portfolio project and progress review"
Mastery English,C2,C2-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information","precision, ambiguity and nuance","personal details, goals, classroom objects, numbers, dates",shape nuanced arguments,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, precision, ambiguity and nuance, shape nuanced arguments, Identity, goals and learner profile"
Mastery English,C2,C2-M02,"Family, community and relationships","people, roles, feelings, social routines",rhetorical patterning,"family, personality, emotions, community places",write in multiple genres,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, rhetorical patterning, write in multiple genres, Family, community and relationships"
Mastery English,C2,C2-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",idiomaticity and collocation,"subjects, study skills, jobs, duties, workplace phrases",control irony and implication,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, idiomaticity and collocation, control irony and implication, School, study and work"
Mastery English,C2,C2-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",tone management,"rooms, furniture, transport, maps, services",mediate complex meaning,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, tone management, mediate complex meaning, Home, city and daily life"
Mastery English,C2,C2-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",stylistic parallelism,"food groups, symptoms, healthy habits, advice",interpret dense texts,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, stylistic parallelism, interpret dense texts, Food, health and wellbeing"
Mastery English,C2,C2-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",advanced editing,"countries, landscapes, travel problems, cultural routines",deliver authoritative presentations,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, advanced editing, deliver authoritative presentations, Travel, cultures and the wider world"
Mastery English,C2,C2-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",genre manipulation,"devices, apps, online behaviour, news, opinions",advise on language choices,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"C2, genre manipulation, advise on language choices, Media, technology and digital citizenship"
