section,course,level,module,resource_type,title,format,editable_text,adaptive_use
CEFR Core Course,Everyday English,A2,A2-M02,Reading text,"A2-M02 Reading text: Family, community and relationships",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M02,Quiz,"A2-M02 Quiz: Family, community and relationships",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M02,Answer key,"A2-M02 Answer key: Family, community and relationships",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M02,Home practice pack,"A2-M02 Home practice pack: Family, community and relationships",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Teacher lesson plan,"A2-M03 Teacher lesson plan: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Learner worksheet,"A2-M03 Learner worksheet: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Vocabulary bank,"A2-M03 Vocabulary bank: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Speaking card set,"A2-M03 Speaking card set: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Writing frame,"A2-M03 Writing frame: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Listening script,"A2-M03 Listening script: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Reading text,"A2-M03 Reading text: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Quiz,"A2-M03 Quiz: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Answer key,"A2-M03 Answer key: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M03,Home practice pack,"A2-M03 Home practice pack: School, study and work",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Teacher lesson plan,"A2-M04 Teacher lesson plan: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Learner worksheet,"A2-M04 Learner worksheet: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Vocabulary bank,"A2-M04 Vocabulary bank: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Speaking card set,"A2-M04 Speaking card set: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Writing frame,"A2-M04 Writing frame: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Listening script,"A2-M04 Listening script: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Reading text,"A2-M04 Reading text: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Quiz,"A2-M04 Quiz: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Answer key,"A2-M04 Answer key: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M04,Home practice pack,"A2-M04 Home practice pack: Home, city and daily life",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Teacher lesson plan,"A2-M05 Teacher lesson plan: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Learner worksheet,"A2-M05 Learner worksheet: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Vocabulary bank,"A2-M05 Vocabulary bank: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Speaking card set,"A2-M05 Speaking card set: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Writing frame,"A2-M05 Writing frame: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Listening script,"A2-M05 Listening script: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Reading text,"A2-M05 Reading text: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Quiz,"A2-M05 Quiz: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Answer key,"A2-M05 Answer key: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M05,Home practice pack,"A2-M05 Home practice pack: Food, health and wellbeing",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Teacher lesson plan,"A2-M06 Teacher lesson plan: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Learner worksheet,"A2-M06 Learner worksheet: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Vocabulary bank,"A2-M06 Vocabulary bank: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Speaking card set,"A2-M06 Speaking card set: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Writing frame,"A2-M06 Writing frame: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Listening script,"A2-M06 Listening script: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Reading text,"A2-M06 Reading text: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Quiz,"A2-M06 Quiz: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Answer key,"A2-M06 Answer key: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M06,Home practice pack,"A2-M06 Home practice pack: Travel, cultures and the wider world",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M07,Teacher lesson plan,"A2-M07 Teacher lesson plan: Media, technology and digital citizenship",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M07,Learner worksheet,"A2-M07 Learner worksheet: Media, technology and digital citizenship",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M07,Vocabulary bank,"A2-M07 Vocabulary bank: Media, technology and digital citizenship",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
CEFR Core Course,Everyday English,A2,A2-M07,Speaking card set,"A2-M07 Speaking card set: Media, technology and digital citizenship",DOCX/PDF/HTML,Yes,core/remediation/extension depending on score
