activity_id,phase,grade_band,subject,strand,skill,skill_code,title,mechanic,learning_goal,prerequisite,item_count,expected_duration_min,feedback_type,mastery_rule,remediation_trigger,extension_unlock,reward_points,assets_needed,dashboard_metrics,downloadable_pair,accessibility_notes,version,canonical_telemetry_signals,feedback_mapping_required
LEA-EY-ACT-0011,Early Years Interactive Engine,Pre-K,Literacy,Phonological Awareness,rhyme and syllable awareness,EY-PRE-LIT-PHO-03,Phonological Awareness: Rhyme And Syllable Awareness - Blend Builder 3,Blend Builder,Learner can rhyme and syllable awareness through a short guided blend builder activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",16,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0012,Early Years Interactive Engine,Pre-K,Literacy,Phonological Awareness,rhyme and syllable awareness,EY-PRE-LIT-PHO-04,Phonological Awareness: Rhyme And Syllable Awareness - Find the Mistake 4,Find the Mistake,Learner can rhyme and syllable awareness through a short guided find the mistake activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",18,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0013,Early Years Interactive Engine,Pre-K,Literacy,Alphabet Knowledge,recognise uppercase and lowercase letters,EY-PRE-LIT-ALP-01,Alphabet Knowledge: Recognise Uppercase And Lowercase Letters - Blend Builder 1,Blend Builder,Learner can recognise uppercase and lowercase letters through a short guided blend builder activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0014,Early Years Interactive Engine,Pre-K,Literacy,Alphabet Knowledge,recognise uppercase and lowercase letters,EY-PRE-LIT-ALP-02,Alphabet Knowledge: Recognise Uppercase And Lowercase Letters - Find the Mistake 2,Find the Mistake,Learner can recognise uppercase and lowercase letters through a short guided find the mistake activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",14,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0015,Early Years Interactive Engine,Pre-K,Literacy,Alphabet Knowledge,recognise uppercase and lowercase letters,EY-PRE-LIT-ALP-03,Alphabet Knowledge: Recognise Uppercase And Lowercase Letters - Read and Record 3,Read and Record,Learner can recognise uppercase and lowercase letters through a short guided read and record activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",16,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0016,Early Years Interactive Engine,Pre-K,Literacy,Alphabet Knowledge,recognise uppercase and lowercase letters,EY-PRE-LIT-ALP-04,Alphabet Knowledge: Recognise Uppercase And Lowercase Letters - Tap the Sound 4,Tap the Sound,Learner can recognise uppercase and lowercase letters through a short guided tap the sound activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",18,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0017,Early Years Interactive Engine,Pre-K,Literacy,Vocabulary,name and describe common objects,EY-PRE-LIT-VOC-01,Vocabulary: Name And Describe Common Objects - Read and Record 1,Read and Record,Learner can name and describe common objects through a short guided read and record activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0018,Early Years Interactive Engine,Pre-K,Literacy,Vocabulary,name and describe common objects,EY-PRE-LIT-VOC-02,Vocabulary: Name And Describe Common Objects - Tap the Sound 2,Tap the Sound,Learner can name and describe common objects through a short guided tap the sound activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",14,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0019,Early Years Interactive Engine,Pre-K,Literacy,Vocabulary,name and describe common objects,EY-PRE-LIT-VOC-03,Vocabulary: Name And Describe Common Objects - Drag to Build 3,Drag to Build,Learner can name and describe common objects through a short guided drag to build activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",16,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0020,Early Years Interactive Engine,Pre-K,Literacy,Vocabulary,name and describe common objects,EY-PRE-LIT-VOC-04,Vocabulary: Name And Describe Common Objects - Blend Builder 4,Blend Builder,Learner can name and describe common objects through a short guided blend builder activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",18,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0021,Early Years Interactive Engine,Pre-K,Math,Number Sense,count 1-10,EY-PRE-MAT-NUM-01,Number Sense: Count 1-10 - Math Mission 1,Math Mission,Learner can count 1-10 through a short guided math mission activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
