lesson_id,level,course,module_number,module_title,lesson_number,lesson_title,skill,worksheet_docx,worksheet_pdf,answer_key,audio_file
A2-M01-L06,A2,A2 Everyday English,1,Daily Life and Social Communication,6,Daily Life and Social Communication: Writing Lesson 6,writing,worksheets/a2-m01-l06-daily-life-and-social-communication-writing-lesson-6.docx,worksheets/a2-m01-l06-daily-life-and-social-communication-writing-lesson-6.pdf,answer_keys/a2-m01-l06-daily-life-and-social-communication-writing-lesson-6-answer-key.pdf,audio/a2-m01-l06-listening.mp3
A2-M02-L01,A2,A2 Everyday English,2,Past Experiences and Personal Stories,1,Past Experiences and Personal Stories: Grammar Lesson 1,grammar,worksheets/a2-m02-l01-past-experiences-and-personal-stories-grammar-lesson-1.docx,worksheets/a2-m02-l01-past-experiences-and-personal-stories-grammar-lesson-1.pdf,answer_keys/a2-m02-l01-past-experiences-and-personal-stories-grammar-lesson-1-answer-key.pdf,audio/a2-m02-l01-listening.mp3
A2-M02-L02,A2,A2 Everyday English,2,Past Experiences and Personal Stories,2,Past Experiences and Personal Stories: Vocabulary Lesson 2,vocabulary,worksheets/a2-m02-l02-past-experiences-and-personal-stories-vocabulary-lesson-2.docx,worksheets/a2-m02-l02-past-experiences-and-personal-stories-vocabulary-lesson-2.pdf,answer_keys/a2-m02-l02-past-experiences-and-personal-stories-vocabulary-lesson-2-answer-key.pdf,audio/a2-m02-l02-listening.mp3
A2-M02-L03,A2,A2 Everyday English,2,Past Experiences and Personal Stories,3,Past Experiences and Personal Stories: Reading Lesson 3,reading,worksheets/a2-m02-l03-past-experiences-and-personal-stories-reading-lesson-3.docx,worksheets/a2-m02-l03-past-experiences-and-personal-stories-reading-lesson-3.pdf,answer_keys/a2-m02-l03-past-experiences-and-personal-stories-reading-lesson-3-answer-key.pdf,audio/a2-m02-l03-listening.mp3
A2-M02-L04,A2,A2 Everyday English,2,Past Experiences and Personal Stories,4,Past Experiences and Personal Stories: Listening Lesson 4,listening,worksheets/a2-m02-l04-past-experiences-and-personal-stories-listening-lesson-4.docx,worksheets/a2-m02-l04-past-experiences-and-personal-stories-listening-lesson-4.pdf,answer_keys/a2-m02-l04-past-experiences-and-personal-stories-listening-lesson-4-answer-key.pdf,audio/a2-m02-l04-listening.mp3
A2-M02-L05,A2,A2 Everyday English,2,Past Experiences and Personal Stories,5,Past Experiences and Personal Stories: Speaking Lesson 5,speaking,worksheets/a2-m02-l05-past-experiences-and-personal-stories-speaking-lesson-5.docx,worksheets/a2-m02-l05-past-experiences-and-personal-stories-speaking-lesson-5.pdf,answer_keys/a2-m02-l05-past-experiences-and-personal-stories-speaking-lesson-5-answer-key.pdf,audio/a2-m02-l05-listening.mp3
A2-M02-L06,A2,A2 Everyday English,2,Past Experiences and Personal Stories,6,Past Experiences and Personal Stories: Writing Lesson 6,writing,worksheets/a2-m02-l06-past-experiences-and-personal-stories-writing-lesson-6.docx,worksheets/a2-m02-l06-past-experiences-and-personal-stories-writing-lesson-6.pdf,answer_keys/a2-m02-l06-past-experiences-and-personal-stories-writing-lesson-6-answer-key.pdf,audio/a2-m02-l06-listening.mp3
A2-M03-L01,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",1,"Travel, Services and Problem Solving: Grammar Lesson 1",grammar,worksheets/a2-m03-l01-travel-services-and-problem-solving-grammar-lesson-1.docx,worksheets/a2-m03-l01-travel-services-and-problem-solving-grammar-lesson-1.pdf,answer_keys/a2-m03-l01-travel-services-and-problem-solving-grammar-lesson-1-answer-key.pdf,audio/a2-m03-l01-listening.mp3
A2-M03-L02,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",2,"Travel, Services and Problem Solving: Vocabulary Lesson 2",vocabulary,worksheets/a2-m03-l02-travel-services-and-problem-solving-vocabulary-lesson-2.docx,worksheets/a2-m03-l02-travel-services-and-problem-solving-vocabulary-lesson-2.pdf,answer_keys/a2-m03-l02-travel-services-and-problem-solving-vocabulary-lesson-2-answer-key.pdf,audio/a2-m03-l02-listening.mp3
A2-M03-L03,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",3,"Travel, Services and Problem Solving: Reading Lesson 3",reading,worksheets/a2-m03-l03-travel-services-and-problem-solving-reading-lesson-3.docx,worksheets/a2-m03-l03-travel-services-and-problem-solving-reading-lesson-3.pdf,answer_keys/a2-m03-l03-travel-services-and-problem-solving-reading-lesson-3-answer-key.pdf,audio/a2-m03-l03-listening.mp3
A2-M03-L04,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",4,"Travel, Services and Problem Solving: Listening Lesson 4",listening,worksheets/a2-m03-l04-travel-services-and-problem-solving-listening-lesson-4.docx,worksheets/a2-m03-l04-travel-services-and-problem-solving-listening-lesson-4.pdf,answer_keys/a2-m03-l04-travel-services-and-problem-solving-listening-lesson-4-answer-key.pdf,audio/a2-m03-l04-listening.mp3
A2-M03-L05,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",5,"Travel, Services and Problem Solving: Speaking Lesson 5",speaking,worksheets/a2-m03-l05-travel-services-and-problem-solving-speaking-lesson-5.docx,worksheets/a2-m03-l05-travel-services-and-problem-solving-speaking-lesson-5.pdf,answer_keys/a2-m03-l05-travel-services-and-problem-solving-speaking-lesson-5-answer-key.pdf,audio/a2-m03-l05-listening.mp3
A2-M03-L06,A2,A2 Everyday English,3,"Travel, Services and Problem Solving",6,"Travel, Services and Problem Solving: Writing Lesson 6",writing,worksheets/a2-m03-l06-travel-services-and-problem-solving-writing-lesson-6.docx,worksheets/a2-m03-l06-travel-services-and-problem-solving-writing-lesson-6.pdf,answer_keys/a2-m03-l06-travel-services-and-problem-solving-writing-lesson-6-answer-key.pdf,audio/a2-m03-l06-listening.mp3
A2-M04-L01,A2,A2 Everyday English,4,"Health, Weather and Plans",1,"Health, Weather and Plans: Grammar Lesson 1",grammar,worksheets/a2-m04-l01-health-weather-and-plans-grammar-lesson-1.docx,worksheets/a2-m04-l01-health-weather-and-plans-grammar-lesson-1.pdf,answer_keys/a2-m04-l01-health-weather-and-plans-grammar-lesson-1-answer-key.pdf,audio/a2-m04-l01-listening.mp3
A2-M04-L02,A2,A2 Everyday English,4,"Health, Weather and Plans",2,"Health, Weather and Plans: Vocabulary Lesson 2",vocabulary,worksheets/a2-m04-l02-health-weather-and-plans-vocabulary-lesson-2.docx,worksheets/a2-m04-l02-health-weather-and-plans-vocabulary-lesson-2.pdf,answer_keys/a2-m04-l02-health-weather-and-plans-vocabulary-lesson-2-answer-key.pdf,audio/a2-m04-l02-listening.mp3
A2-M04-L03,A2,A2 Everyday English,4,"Health, Weather and Plans",3,"Health, Weather and Plans: Reading Lesson 3",reading,worksheets/a2-m04-l03-health-weather-and-plans-reading-lesson-3.docx,worksheets/a2-m04-l03-health-weather-and-plans-reading-lesson-3.pdf,answer_keys/a2-m04-l03-health-weather-and-plans-reading-lesson-3-answer-key.pdf,audio/a2-m04-l03-listening.mp3
A2-M04-L04,A2,A2 Everyday English,4,"Health, Weather and Plans",4,"Health, Weather and Plans: Listening Lesson 4",listening,worksheets/a2-m04-l04-health-weather-and-plans-listening-lesson-4.docx,worksheets/a2-m04-l04-health-weather-and-plans-listening-lesson-4.pdf,answer_keys/a2-m04-l04-health-weather-and-plans-listening-lesson-4-answer-key.pdf,audio/a2-m04-l04-listening.mp3
A2-M04-L05,A2,A2 Everyday English,4,"Health, Weather and Plans",5,"Health, Weather and Plans: Speaking Lesson 5",speaking,worksheets/a2-m04-l05-health-weather-and-plans-speaking-lesson-5.docx,worksheets/a2-m04-l05-health-weather-and-plans-speaking-lesson-5.pdf,answer_keys/a2-m04-l05-health-weather-and-plans-speaking-lesson-5-answer-key.pdf,audio/a2-m04-l05-listening.mp3
A2-M04-L06,A2,A2 Everyday English,4,"Health, Weather and Plans",6,"Health, Weather and Plans: Writing Lesson 6",writing,worksheets/a2-m04-l06-health-weather-and-plans-writing-lesson-6.docx,worksheets/a2-m04-l06-health-weather-and-plans-writing-lesson-6.pdf,answer_keys/a2-m04-l06-health-weather-and-plans-writing-lesson-6-answer-key.pdf,audio/a2-m04-l06-listening.mp3
A2-M05-L01,A2,A2 Everyday English,5,"Work, Study and Everyday Writing",1,"Work, Study and Everyday Writing: Grammar Lesson 1",grammar,worksheets/a2-m05-l01-work-study-and-everyday-writing-grammar-lesson-1.docx,worksheets/a2-m05-l01-work-study-and-everyday-writing-grammar-lesson-1.pdf,answer_keys/a2-m05-l01-work-study-and-everyday-writing-grammar-lesson-1-answer-key.pdf,audio/a2-m05-l01-listening.mp3
A2-M05-L02,A2,A2 Everyday English,5,"Work, Study and Everyday Writing",2,"Work, Study and Everyday Writing: Vocabulary Lesson 2",vocabulary,worksheets/a2-m05-l02-work-study-and-everyday-writing-vocabulary-lesson-2.docx,worksheets/a2-m05-l02-work-study-and-everyday-writing-vocabulary-lesson-2.pdf,answer_keys/a2-m05-l02-work-study-and-everyday-writing-vocabulary-lesson-2-answer-key.pdf,audio/a2-m05-l02-listening.mp3
A2-M05-L03,A2,A2 Everyday English,5,"Work, Study and Everyday Writing",3,"Work, Study and Everyday Writing: Reading Lesson 3",reading,worksheets/a2-m05-l03-work-study-and-everyday-writing-reading-lesson-3.docx,worksheets/a2-m05-l03-work-study-and-everyday-writing-reading-lesson-3.pdf,answer_keys/a2-m05-l03-work-study-and-everyday-writing-reading-lesson-3-answer-key.pdf,audio/a2-m05-l03-listening.mp3
A2-M05-L04,A2,A2 Everyday English,5,"Work, Study and Everyday Writing",4,"Work, Study and Everyday Writing: Listening Lesson 4",listening,worksheets/a2-m05-l04-work-study-and-everyday-writing-listening-lesson-4.docx,worksheets/a2-m05-l04-work-study-and-everyday-writing-listening-lesson-4.pdf,answer_keys/a2-m05-l04-work-study-and-everyday-writing-listening-lesson-4-answer-key.pdf,audio/a2-m05-l04-listening.mp3
